id_vehiculo,marca,modelo,año,tipo,precio_lista,costo_adquisicion,color,combustible,transmision,kilometraje,estado
1,Toyota,Corolla,2023,Sedan,85000000,68000000,Blanco,Gasolina,Automatica,0,Nuevo
2,Toyota,RAV4,2023,SUV,145000000,116000000,Negro,Hibrido,Automatica,0,Nuevo
3,Chevrolet,Spark,2023,Hatchback,52000000,42000000,Rojo,Gasolina,Manual,0,Nuevo
4,Chevrolet,Tracker,2023,SUV,98000000,78400000,Gris,Gasolina,Automatica,0,Nuevo
5,Mazda,3,2023,Sedan,95000000,76000000,Azul,Gasolina,Automatica,0,Nuevo
6,Mazda,CX-5,2023,SUV,135000000,108000000,Blanco,Gasolina,Automatica,0,Nuevo
7,Renault,Logan,2023,Sedan,58000000,46400000,Gris,Gasolina,Manual,0,Nuevo
8,Renault,Duster,2023,SUV,82000000,65600000,Verde,Gasolina,Manual,0,Nuevo
9,Nissan,Versa,2023,Sedan,72000000,57600000,Plata,Gasolina,Automatica,0,Nuevo
10,Nissan,Kicks,2023,SUV,88000000,70400000,Naranja,Gasolina,Automatica,0,Nuevo
11,Toyota,Corolla,2022,Sedan,78000000,62400000,Gris,Gasolina,Automatica,15000,Usado
12,Chevrolet,Onix,2022,Hatchback,62000000,49600000,Blanco,Gasolina,Manual,22000,Usado
13,Mazda,CX-30,2022,SUV,115000000,92000000,Rojo,Gasolina,Automatica,18000,Usado
14,Renault,Sandero,2021,Hatchback,48000000,38400000,Azul,Gasolina,Manual,35000,Usado
15,Nissan,Sentra,2022,Sedan,82000000,65600000,Negro,Gasolina,Automatica,20000,Usado
16,Toyota,Hilux,2023,Pickup,165000000,132000000,Blanco,Diesel,Manual,0,Nuevo
17,Ford,Ranger,2023,Pickup,155000000,124000000,Gris,Diesel,Automatica,0,Nuevo
18,Chevrolet,Montana,2023,Pickup,95000000,76000000,Blanco,Gasolina,Manual,0,Nuevo
19,Kia,Sportage,2023,SUV,125000000,100000000,Negro,Gasolina,Automatica,0,Nuevo
20,Hyundai,Tucson,2023,SUV,130000000,104000000,Plata,Gasolina,Automatica,0,Nuevo
21,Honda,City,2023,Sedan,88000000,70400000,Blanco,Gasolina,Automatica,0,Nuevo
22,Honda,HR-V,2023,SUV,108000000,86400000,Rojo,Gasolina,Automatica,0,Nuevo
23,Volkswagen,Gol,2023,Hatchback,55000000,44000000,Gris,Gasolina,Manual,0,Nuevo
24,Volkswagen,T-Cross,2023,SUV,105000000,84000000,Azul,Gasolina,Automatica,0,Nuevo
25,Suzuki,Swift,2023,Hatchback,65000000,52000000,Amarillo,Gasolina,Manual,0,Nuevo
26,Suzuki,Vitara,2023,SUV,92000000,73600000,Verde,Gasolina,Manual,0,Nuevo
27,Toyota,Prius,2023,Sedan,120000000,96000000,Plata,Hibrido,Automatica,0,Nuevo
28,Mazda,2,2023,Sedan,68000000,54400000,Blanco,Gasolina,Automatica,0,Nuevo
29,Chevrolet,Cruze,2022,Sedan,92000000,73600000,Negro,Gasolina,Automatica,12000,Usado
30,Nissan,X-Trail,2023,SUV,148000000,118400000,Gris,Gasolina,Automatica,0,Nuevo